SAMPLE_ACC,Sample Type,SAMPLE_VOLUME,VOLUME_UNIT,FILTER_MIN,FILTER_MAX,SAMPLE_DESCRIPTION,SAMPLE_NAME,COMMENTS,TAXON_ID,COLLECTION_START_TIME,COLLECTION_STOP_TIME,BIOMATERIAL_NAME,DESCRIPTION,MATERIAL_ACC,SITE_NAME,LATITUDE,LONGITUDE,ALTITUDE,SITE_DEPTH,SITE_DESCRIPTION,COUNTRY_NAME,REGION,HABITAT_NAME,HOST_TAXON_ID,HOST_DESCRIPTION,HOST_ORGANISM,LIBRARY_ACC,SEQUENCING_METHOD,DNA_TYPE,NUM_OF_READS,MATERIAL_ID,Silicate - (umol/kg),sample depth - (M),salinity - (psu),temperature - (C),chlorophyll density - (ug/kg),phosphate - (umol/kg),dissolved oxygen - (nmol/kg),Particulate Organic Carbon - (umol/kg),dissolved organic carbon - (umol/kg),pH,nitrate(NO3) - (umol/l)
CAM_SMPL_000704,eukaryotes,,,,,non described non described CCMP 2436,MMETSP0982,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0982"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0982</a>""",483367,00:00.0,00:00.0,(MMETSP0982) non described non described - seawater,,CAM_BM_000706,Baffin Bay,76.3208,-75.8172,,,North Water Polynya,CANADA,,marine habitat,,,,CAM_LIB_000015,Illumina,cDNA,,215,,11,,,,,,,,,
CAM_SMPL_000705,eukaryotes,,,,,Heterocapsa rotundata SCCAP K-0483,MMETSP0503,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0503"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0503</a>""",89963,00:00.0,00:00.0,(MMETSP0503) Heterocapsa rotundata,,CAM_BM_000707,"Southern Kattegat, Buoy St.",56,11,,,,,,marine habitat,,,,CAM_LIB_000016,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_000706,eukaryotes,,,,,Stauroneis constricta CCMP1120,MMETSP1352,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP1352"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP1352</a>""",265584,,,(MMETSP1352) Stauroneis constricta,,CAM_BM_000708,,-0.7475,-126.03,,,"1967,  00.7475S 126.0300W Pacific Equatorial upwelling zone",,,marine habitat,,,,CAM_LIB_000017,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_000707,eukaryotes,,,,,Vannella sp. DIVA3 517/6/12,MMETSP0168,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0168"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0168</a>""",95228,24:00.0,24:00.0,(MMETSP0168) Vannella sp. - Marine sediment,,CAM_BM_000709,Atlantic_Ocean,-35.98917,-49.01944,,,Expedition DIVA3,,,marine habitat,,,,CAM_LIB_000018,Illumina,cDNA,,211,,4605.2,35,,,,,,,,
CAM_SMPL_000708,eukaryotes,,,,,Gymnodinium catenatum GC744,MMETSP0784,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0784"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0784</a>""",39447,,,(MMETSP0784) Gymnodinium catenatum,,CAM_BM_000710,,,,,,,,,,,,,CAM_LIB_000019,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002329,eukaryotes,4,L,0.2,1,Cylindrotheca closterium KMMCC:B-181,MMETSP0017,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0017"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0017</a>""",2856,00:00.0,00:00.0,(MMETSP0017) Cylindrotheca closterium - Seawater,,CAM_BM_002349,English Channel,48.75,-3.95,,,Britanny coast,FRANCE,,,,,,CAM_LIB_001095,Illumina,cDNA,,2804,,,,,,,,,,,
CAM_SMPL_002330,eukaryotes,,,,,Uronema sp. Bbcil,MMETSP0018,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0018"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0018</a>""",35107,00:00.0,00:00.0,(MMETSP0018) Uronema sp.,,CAM_BM_002350,"Buzzards Bay, Massuchussetts",41.745,-70.618,,,,UNITED STATES,,marine habitat,,,,CAM_LIB_001096,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002331,eukaryotes,,,,,Ochromonas sp. CCMP1393,MMETSP0004,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0004"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0004</a>""",420556,00:00.0,00:00.0,(MMETSP0004) Ochromonas sp. - nylon rope,,CAM_BM_002351,Atlantic_Ocean,38.702,-72.3667,,,Oceanus cruise 83 Sta II,UNITED STATES,,marine habitat,,,,CAM_LIB_001097,Illumina,cDNA,,2806,,22.5,35,20.5,,,,,,,
CAM_SMPL_002332,eukaryotes,,,,,Ochromonas sp. CCMP1393,MMETSP0005,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0005"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0005</a>""",420556,00:00.0,00:00.0,(MMETSP0005) Ochromonas sp. - nylon rope,,CAM_BM_002352,Atlantic_Ocean,38.702,-72.3667,,,Oceanus cruise 83 Sta II,UNITED STATES,,marine habitat,,,,CAM_LIB_001098,Illumina,cDNA,,2807,,22.5,35,20.5,,,,,,,
CAM_SMPL_002333,eukaryotes,,,,,Prymnesium parvum Texoma1,MMETSP0006,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0006"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0006</a>""",97485,00:00.0,00:00.0,(MMETSP0006) Prymnesium parvum,,CAM_BM_002353,"Lake Texoma, Oklahoma",33.98,-96.67,,,,UNITED STATES,,freshwater habitat,,,,CAM_LIB_001099,Illumina,cDNA,,2808,,,5,,,,,,,,
CAM_SMPL_002334,eukaryotes,,,,,Prymnesium parvum Texoma1,MMETSP0007,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0007"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0007</a>""",97485,00:00.0,00:00.0,(MMETSP0007) Prymnesium parvum - lake water,,CAM_BM_002354,"Lake Texoma, Oklahoma",33.98,-96.67,,,,UNITED STATES,,freshwater habitat,,,,CAM_LIB_001100,Illumina,cDNA,,2809,,,5,,,,,,,,
